Work_year_representation,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
2020,2,2,22,14,0,12,0
2020,3,2,41,32,0,29,2
2020,3,2,7,20,50,18,1
2020,2,2,47,23,0,20,2
2020,3,2,38,55,50,48,0
2020,0,2,12,55,100,48,0
2020,3,2,34,55,100,48,2
2020,2,2,22,25,50,22,0
2020,2,2,8,55,100,48,0
2020,3,2,33,41,50,38,2
2020,0,2,22,19,0,17,2
2020,2,2,22,27,0,25,0
2020,0,2,22,19,0,17,1
2020,2,2,32,55,100,48,0
2020,2,2,12,55,100,48,0
2020,2,2,12,43,50,39,0
2020,0,2,17,32,100,29,2
2020,3,2,7,44,100,18,2
2020,0,2,19,27,50,25,1
2020,2,2,33,46,100,48,1
2020,2,2,38,11,0,9,1
2020,2,2,47,27,100,25,0
2020,3,2,17,21,50,19,0
2020,2,2,5,55,0,48,1
2020,2,2,34,0,0,0,0
2020,1,2,25,55,100,48,0
2020,0,2,48,40,50,37,0
2020,3,2,17,37,0,34,2
2020,0,0,8,55,100,48,0
2020,3,2,40,8,50,6,0
2020,2,2,18,14,100,12,2
2020,0,2,7,55,100,48,0
2020,3,2,22,21,100,48,0
2020,2,2,48,55,0,48,1
2020,2,2,12,19,50,17,0
2020,2,2,17,2,50,2,0
2020,2,2,19,55,100,48,0
2020,0,2,38,55,50,48,0
2020,0,2,12,39,100,36,2
2020,0,2,38,55,100,48,2
2020,2,2,22,42,100,48,2
2020,1,2,18,18,50,16,0
2020,2,2,39,46,0,41,1
2020,2,2,17,55,100,48,0
2020,2,2,17,20,50,18,0
2020,0,3,36,14,100,12,2
2020,2,2,22,20,100,18,2
2020,3,2,17,55,100,48,0
2020,2,2,22,55,100,48,0
2020,2,2,17,19,50,17,0
2020,0,2,12,27,0,25,2
2020,0,2,12,55,100,48,0
2020,0,2,1,15,50,13,2
2020,0,2,17,43,100,12,0
2020,3,1,10,49,100,48,2
2020,3,2,46,14,100,12,1
2020,2,2,22,18,100,16,1
2020,2,2,22,55,100,48,1
2020,3,2,22,55,50,48,0
2020,2,2,22,55,100,48,1
2020,2,2,17,55,100,48,0
2020,2,2,17,18,100,48,1
2020,0,3,22,30,50,28,2
2020,3,2,22,55,100,48,0
2020,3,2,38,24,100,21,2
2020,0,2,22,14,50,12,2
2020,0,2,22,14,0,12,2
2020,3,2,21,55,100,48,1
2020,0,2,22,55,100,48,2
2020,3,2,22,2,0,2,2
2020,2,2,22,19,50,31,2
2020,2,2,22,19,50,17,2
2021,0,2,48,20,50,18,0
2021,1,2,5,27,100,48,0
2021,1,2,29,55,100,48,0
2021,3,2,22,19,50,17,0
2021,2,2,5,55,100,48,1
2021,2,3,0,27,50,25,1
2021,2,0,36,55,100,48,0
2021,0,2,12,55,100,48,1
2021,3,2,13,14,100,12,0
2021,2,2,17,55,100,48,0
2021,2,2,3,20,50,6,0
2021,2,2,38,18,100,16,2
2021,1,2,25,30,100,40,0
2021,2,2,17,44,100,40,0
2021,0,2,12,19,50,17,1
2021,2,2,13,55,100,48,0
2021,3,2,32,55,100,48,0
2021,3,2,12,5,100,48,2
